IDCommande;Date et heure
e815e5f1;45803.802094907405
555da84c;45803.83421296296
2f2527df;45803.971041666664
8b1fc41b;45804.789664351854
e141bd4a;45804.8109375
d39e463b;45804.82840277778
6f4503d8;45804.90369212963
0d094a8b;45805.483668981484
bee70422;45805.72130787037
e76aa598;45805.753020833334
1e38970c;45805.808900462966
7fa1f3e4;45805.827881944446
dbefbdc7;45805.92826388889
2eec2b47;45805.955613425926
26d4a345;45806.7312962963
475461c6;45806.856087962966
488adb18;45806.97336805556
6896f3f1;45807.5584375
6323ad91;45807.61375
827bca1c;45807.76961805556
fc7eb7ae;45807.92543981481
e0f58715;45830.60229166667
55f1801a;45837.52290509259
ea735e5e;45855.84930555556
62c59de3;45855.88270833333
627dda75;45869.8449537037
65c8fe4d;45926.975
d2cc9b21;45948.01388888889
80ce11d5;45989.99166666667
fe5fa936;45991.907638888886
