#;Date;Service;Type de bière;Typologie;Nom;Degrés;Note;Note Sarah;Note Teddy;Analyse;Coordonnées GPS;Pays (ou Région);Bar / Ville;Contexte (terrasse, intérieur, ...);Evenement;Météo;Froid, très chaud ou bien;Température;Photo du moment;Photo de la bière;IBU/DI (proche de 1 = Amer);Année;Saison;Classement général et note;Nb de fois;Jour split;Mois split;Année split;Classement;Classement Sarah;Classement Teddy;Sarah🔹Teddy;Infos;Photos;Split typologie 1;Split typologie 2;Split typologie 3;Split typologie 4;IDDataBeer
1;;Pression;Blonde;;Bière Du Moulin;4.0;0;0.0;0.0;Egal à la kronenbourg;;;;;;;;;;;;;;176🔹0;1;;;;176;172;176;172🔹0 ◾ 176🔹0;Blonde (172🔹0 ◾ 176🔹0);;;;;;k0l0c3l1
2;;Pression;Blonde;;Licorne Blonde;4.8;0.5;0.5;0.5;Egal à une heineken;;;;;;;;;;;;;;159🔹0,5;1;;;;159;154;160;154🔹0,5 ◾ 160🔹0,5;Blonde (154🔹0,5 ◾ 160🔹0,5);;;;;;y7s3d2h2
3;;Pression;Ambré;;Licorne Black;6.0;1;1.0;1.0;Pas de goût / Asseche la bouche;;;;;;;;;;;;;;135🔹1;1;;;;135;122;133;122🔹1 ◾ 133🔹1;Ambré (122🔹1 ◾ 133🔹1);;;;;;p8f9j0n0
4;;Pression;Blonde;;Duvel;8.5;1;1.0;1.0;Très amer;;;;;;;;;;;;;;135🔹1;1;;;;135;122;133;122🔹1 ◾ 133🔹1;Blonde (122🔹1 ◾ 133🔹1);;;;;;l3s2c4c9
5;;Pression;Blonde;;St Feuillien;7.5;1;1.0;1.0;Amer ++, Sarah aime pas, pas top;;;;;;;;;;;;;;135🔹1;1;;;;135;122;133;122🔹1 ◾ 133🔹1;Blonde (122🔹1 ◾ 133🔹1);;;;;;x8e8s6p2
6;;Pression;Blonde;;Singha (bière thaïlandaise);5.0;1;1.0;1.0;Douce, sans goût, fade;;;;;;;;;;;;;;135🔹1;1;;;;135;122;133;122🔹1 ◾ 133🔹1;Blonde (122🔹1 ◾ 133🔹1);;;;;;b5a7q9i9
7;;Pression;Blonde;;Hinano (bière de tahiti;5.0;1;1.0;1.0;Douce, fraîche, pas top du tout;;;;;;;;;;;;;;135🔹1;1;;;;135;122;133;122🔹1 ◾ 133🔹1;Blonde (122🔹1 ◾ 133🔹1);;;;;;i2i3j6i0
8;;Pression;Blonde;;Royal Beer;5.4;1.5;1.5;1.5;Pétillante, raffraichissante, registre de la 1664 (gout plus prononcé), assez banal;;;;;;;;;;;;;;100🔹1,5;1;;;;100;92;99;92🔹1,5 ◾ 99🔹1,5;Blonde (92🔹1,5 ◾ 99🔹1,5);;;;;;d8r0m4n1
9;;Pression;Blonde;;La corne du bois des Pendus;6.0;1.5;1.5;1.5;Amer et douce ;;;;;;;;;;;;;;100🔹1,5;1;;;;100;92;99;92🔹1,5 ◾ 99🔹1,5;Blonde (92🔹1,5 ◾ 99🔹1,5);;;;;;k0q2t2o9
10;;Pression;Blonde;;Estrella;5.4;1.5;1.5;1.5;Pas trop de goût, passable;;;;;;;;;;;;;;100🔹1,5;1;;;;100;92;99;92🔹1,5 ◾ 99🔹1,5;Blonde (92🔹1,5 ◾ 99🔹1,5);;;;;;r9u1y1e4
