IDDetailsCommande;IDCommandeRef;Quoi ?;Nombre
10745fe8;e815e5f1;Gin Tonic;4.0
a97ca34a;e815e5f1;Tequila Sunrise
e5469c9e;e815e5f1;Bière;1.0
37df15fe;e815e5f1;Caipirina
2a9c441f;e815e5f1;Blue Lagon
26972411;e815e5f1;Eau gazeuse/Perrier
9ec68b15;e815e5f1;Cuba libre;1.0
cbb6db8e;e815e5f1;San fransisco;1.0
1cba45c9;555da84c;Gin Tonic;2.0
50c7cd84;555da84c;Cuba libre;2.0
;;;
c389d22c;555da84c;Eau gazeuse/Perrier;1.0
;;;
ec6819cc;555da84c;Bière;1.0
e64a70bb;555da84c;Tequila Sunrise;2.0
8fd177ac;555da84c;Caipirina;2.0
3c217d61;2f2527df;Tequila Sunrise;1.0
a0639b03;2f2527df;Gin Tonic;1.0
037af08b;2f2527df;Cuba libre;2.0
2ca2c861;2f2527df;Blue Lagon;3.0
6413a2cd;8b1fc41b;Vodka Sunrise;1.0
d78bf975;8b1fc41b;Kass Lemon;1.0
da41dda8;8b1fc41b;Blue Lagon;2.0
43786588;8b1fc41b;Tequila Sunrise;2.0
519f4c23;e141bd4a;Bière;2.0
12f8a7df;e141bd4a;Pastis;1.0
0e387efe;e141bd4a;San fransisco;1.0
22923ff2;e141bd4a;Gin Tonic;3.0
790adedf;e141bd4a;Blue Lagon;1.0
9347486e;e141bd4a;Kass Lemon;1.0
0cc22521;e141bd4a;Cuba libre;1.0
66b6e765;d39e463b;Cuba libre;1.0
6d4f2ae4;d39e463b;Gin Tonic;3.0
f8a73320;d39e463b;Tequila Sunrise;1.0
c83aeed4;d39e463b;Kass Lemon;1.0
ee060d7c;d39e463b;Pastis;1.0
d95d8cf3;d39e463b;Bière;3.0
0b2b25df;6f4503d8;Café allongé;1.0
ae32d318;6f4503d8;Eau gazeuse/Perrier;3.0
382ef851;6f4503d8;Bière;2.0
ba68ecd9;6f4503d8;Cuba libre;2.0
62e696ef;6f4503d8;Pepsi;1.0
0ee6465b;6f4503d8;Ice tea;1.0
a1e01b03;6f4503d8;Kass Lemon;1.0
563713d9;6f4503d8;Gin Tonic;1.0
5acd9194;0d094a8b;Bière;7.0
70e740e9;0d094a8b;Eau gazeuse/Perrier;2.0
86ac8ec7;0d094a8b;Fanta Lemon;3.0
7e7e79e2;0d094a8b;Jus d’orange;1.0
881df715;0d094a8b;Coca;1.0
4590609f;bee70422;Eau gazeuse/Perrier;2.0
b2cd7d01;bee70422;Gin Tonic;1.0
b3fe16e6;bee70422;Bière;4.0
a8a98325;bee70422;Kass Lemon;1.0
09a7948e;bee70422;Tequila Sunrise;1.0
996de517;bee70422;Blue Lagon;2.0
ec1df063;e76aa598;Gin Tonic;3.0
63e3bad8;e76aa598;Eau gazeuse/Perrier;1.0
6b5597e5;e76aa598;Blue Lagon;2.0
e73d7eba;e76aa598;Fanta Lemon;1.0
c033fcd8;e76aa598;Bière;2.0
a5739b22;e76aa598;Cuba libre;1.0
1e390ab8;1e38970c;Cuba libre;2.0
